ncells,nfeatures,metric,value
100,all,l2-means,1.3616420030593872
100,all,l2-stds,2.7214269638061523
100,all,r2-means,0.8643090734726744
100,all,r2-stds,0.9315492722773239
100,all,r2-pairwise_feat_corrs,0.3935633963085025
100,all,l2-pairwise_feat_corrs,6.679237180085042
100,all,mmd,0.020656914231365432
100,all,enrichment-k50,0.6056
100,all,enrichment-k100,0.5612121212121212
100,all,l2-means,1.5432239770889282
100,all,l2-stds,1.4816259145736694
100,all,r2-means,0.8907889679354448
100,all,r2-stds,0.9762116946400606
100,all,r2-pairwise_feat_corrs,0.5111605040594406
100,all,l2-pairwise_feat_corrs,5.947710717574085
100,all,mmd,0.01766021754827616
100,all,enrichment-k50,0.5536
100,all,enrichment-k100,0.5224242424242425
100,all,l2-means,1.1061887741088867
100,all,l2-stds,1.7131695747375488
100,all,r2-means,0.9252074441790336
100,all,r2-stds,0.9824836780813457
100,all,r2-pairwise_feat_corrs,0.5083492259584748
100,all,l2-pairwise_feat_corrs,6.0348607825019425
100,all,mmd,0.019733000419526657
100,all,enrichment-k50,0.5712
100,all,enrichment-k100,0.5591919191919192
100,all,l2-means,1.5935735702514648
100,all,l2-stds,2.4435410499572754
100,all,r2-means,0.8453653898442257
100,all,r2-stds,0.9653395381753186
100,all,r2-pairwise_feat_corrs,0.48542459977859986
100,all,l2-pairwise_feat_corrs,6.077316853093388
100,all,mmd,0.020449489677812606
100,all,enrichment-k50,0.5504
100,all,enrichment-k100,0.5609090909090909
100,all,l2-means,1.30204176902771
100,all,l2-stds,2.0538930892944336
100,all,r2-means,0.9034534682055708
100,all,r2-stds,0.9629661931455735
100,all,r2-pairwise_feat_corrs,0.5055860779312537
100,all,l2-pairwise_feat_corrs,5.99466079483646
100,all,mmd,0.019682564613113022
100,all,enrichment-k50,0.5932
100,all,enrichment-k100,0.5420202020202021
100,all,l2-means,1.3527653217315674
100,all,l2-stds,1.324402928352356
100,all,r2-means,0.8661607048384373
100,all,r2-stds,0.9888355997737873
100,all,r2-pairwise_feat_corrs,0.5588324735759244
100,all,l2-pairwise_feat_corrs,5.8248715323877756
100,all,mmd,0.016998607451964434
100,all,enrichment-k50,0.5336
100,all,enrichment-k100,0.5393939393939394
100,all,l2-means,1.1117745637893677
100,all,l2-stds,1.7338415384292603
100,all,r2-means,0.9371364805013508
100,all,r2-stds,0.9806198819210611
100,all,r2-pairwise_feat_corrs,0.522543693151289
100,all,l2-pairwise_feat_corrs,5.92286554937085
100,all,mmd,0.018340063819646927
100,all,enrichment-k50,0.572
100,all,enrichment-k100,0.5264646464646464
100,all,l2-means,1.0314311981201172
100,all,l2-stds,1.5423716306686401
100,all,r2-means,0.9350899362767409
100,all,r2-stds,0.974878455186197
100,all,r2-pairwise_feat_corrs,0.4744402685024081
100,all,l2-pairwise_feat_corrs,6.291906602571287
100,all,mmd,0.01818113396068796
100,all,enrichment-k50,0.567
100,all,enrichment-k100,0.5256565656565657
100,all,l2-means,1.2545613050460815
100,all,l2-stds,1.5538989305496216
100,all,r2-means,0.8876060239496129
100,all,r2-stds,0.986237619354275
100,all,r2-pairwise_feat_corrs,0.48618859569177875
100,all,l2-pairwise_feat_corrs,6.130666432709075
100,all,mmd,0.018230140022789144
100,all,enrichment-k50,0.5484
100,all,enrichment-k100,0.5487878787878788
100,all,l2-means,1.4849704504013062
100,all,l2-stds,1.8603923320770264
100,all,r2-means,0.8452754488544979
100,all,r2-stds,0.9887033465231131
100,all,r2-pairwise_feat_corrs,0.5468767937096134
100,all,l2-pairwise_feat_corrs,5.706255142370701
100,all,mmd,0.01883815684803404
100,all,enrichment-k50,0.557
100,all,enrichment-k100,0.5441414141414141
250,all,l2-means,0.8974670171737671
250,all,l2-stds,1.3762634992599487
250,all,r2-means,0.9506063282228079
250,all,r2-stds,0.9814124456803346
250,all,r2-pairwise_feat_corrs,0.6778027890705803
250,all,l2-pairwise_feat_corrs,4.262101814838219
250,all,mmd,0.00937688798467734
250,all,enrichment-k50,0.5648
250,all,enrichment-k100,0.5722
250,all,l2-means,1.1183245182037354
250,all,l2-stds,1.1184895038604736
250,all,r2-means,0.9214394399742476
250,all,r2-stds,0.9880843293077853
250,all,r2-pairwise_feat_corrs,0.7022014144306588
250,all,l2-pairwise_feat_corrs,4.012811776047431
250,all,mmd,0.00941638012637878
250,all,enrichment-k50,0.57216
250,all,enrichment-k100,0.57256
250,all,l2-means,1.1531137228012085
250,all,l2-stds,1.5462549924850464
250,all,r2-means,0.9215766272624104
250,all,r2-stds,0.9725430757494349
250,all,r2-pairwise_feat_corrs,0.688635038046293
250,all,l2-pairwise_feat_corrs,4.154750779600068
250,all,mmd,0.00970713003383058
250,all,enrichment-k50,0.58832
250,all,enrichment-k100,0.58096
250,all,l2-means,1.5166836977005005
250,all,l2-stds,1.6647616624832153
250,all,r2-means,0.8562937962936761
250,all,r2-stds,0.9688630141423051
250,all,r2-pairwise_feat_corrs,0.6574230817588694
250,all,l2-pairwise_feat_corrs,4.359734437449081
250,all,mmd,0.010160225713057226
250,all,enrichment-k50,0.5796
250,all,enrichment-k100,0.5686
250,all,l2-means,0.8438870906829834
250,all,l2-stds,1.1996709108352661
250,all,r2-means,0.96045985170427
250,all,r2-stds,0.9885454031364791
250,all,r2-pairwise_feat_corrs,0.6793152999537696
250,all,l2-pairwise_feat_corrs,4.282411987167354
250,all,mmd,0.008268662405885084
250,all,enrichment-k50,0.5864
250,all,enrichment-k100,0.57992
250,all,l2-means,0.9581237435340881
250,all,l2-stds,1.2933261394500732
250,all,r2-means,0.9481502157704703
250,all,r2-stds,0.9848977652748392
250,all,r2-pairwise_feat_corrs,0.6981473453879251
250,all,l2-pairwise_feat_corrs,4.032994796545871
250,all,mmd,0.008309886748546555
250,all,enrichment-k50,0.54624
250,all,enrichment-k100,0.56188
250,all,l2-means,0.8650569915771484
250,all,l2-stds,1.1111317873001099
250,all,r2-means,0.9544368797252224
250,all,r2-stds,0.9901718228785312
250,all,r2-pairwise_feat_corrs,0.6517070131858795
250,all,l2-pairwise_feat_corrs,4.3623193108447476
250,all,mmd,0.008982022323298868
250,all,enrichment-k50,0.56928
250,all,enrichment-k100,0.57132
250,all,l2-means,1.0567224025726318
250,all,l2-stds,1.3732812404632568
250,all,r2-means,0.931827911037849
250,all,r2-stds,0.9856933140563108
250,all,r2-pairwise_feat_corrs,0.7119833353825098
250,all,l2-pairwise_feat_corrs,3.8945554445310018
250,all,mmd,0.009034003839883304
250,all,enrichment-k50,0.59472
250,all,enrichment-k100,0.5882
250,all,l2-means,0.8461448550224304
250,all,l2-stds,1.0799081325531006
250,all,r2-means,0.9571976043794228
250,all,r2-stds,0.9899032018842354
250,all,r2-pairwise_feat_corrs,0.7071836445316229
250,all,l2-pairwise_feat_corrs,3.9523790298005443
250,all,mmd,0.008437133608421575
250,all,enrichment-k50,0.56376
250,all,enrichment-k100,0.5616
250,all,l2-means,0.9958721399307251
250,all,l2-stds,1.0429435968399048
250,all,r2-means,0.9354372927636568
250,all,r2-stds,0.9904787899901863
250,all,r2-pairwise_feat_corrs,0.7278692249903382
250,all,l2-pairwise_feat_corrs,3.9919617050801657
250,all,mmd,0.008788611479952605
250,all,enrichment-k50,0.56144
250,all,enrichment-k100,0.54996
500,all,l2-means,0.8858824968338013
500,all,l2-stds,1.1522353887557983
500,all,r2-means,0.9498999626795201
500,all,r2-stds,0.9875705862384416
500,all,r2-pairwise_feat_corrs,0.7766624718143124
500,all,l2-pairwise_feat_corrs,3.324262503742612
500,all,mmd,0.005900649165806527
500,all,enrichment-k50,0.60392
500,all,enrichment-k100,0.57882
500,all,l2-means,0.8858822584152222
500,all,l2-stds,1.1522353887557983
500,all,r2-means,0.949899939492877
500,all,r2-stds,0.9875705862384416
500,all,r2-pairwise_feat_corrs,0.776662471814312
500,all,l2-pairwise_feat_corrs,3.3242625037426117
500,all,mmd,0.005900649636360659
500,all,enrichment-k50,0.60392
500,all,enrichment-k100,0.57882
500,all,l2-means,0.8858822584152222
500,all,l2-stds,1.1522353887557983
500,all,r2-means,0.9498999925744485
500,all,r2-stds,0.9875705862384416
500,all,r2-pairwise_feat_corrs,0.7766624718143124
500,all,l2-pairwise_feat_corrs,3.3242625037426117
500,all,mmd,0.0059006587804928635
500,all,enrichment-k50,0.60392
500,all,enrichment-k100,0.57882
500,all,l2-means,0.8858824372291565
500,all,l2-stds,1.1522353887557983
500,all,r2-means,0.9498999569828078
500,all,r2-stds,0.9875705862384416
500,all,r2-pairwise_feat_corrs,0.7766624718143126
500,all,l2-pairwise_feat_corrs,3.3242625037426117
500,all,mmd,0.005900638829290972
500,all,enrichment-k50,0.60392
500,all,enrichment-k100,0.57882
500,all,l2-means,0.8858821988105774
500,all,l2-stds,1.1522353887557983
500,all,r2-means,0.949899970651325
500,all,r2-stds,0.9875705862384416
500,all,r2-pairwise_feat_corrs,0.7766624718143126
500,all,l2-pairwise_feat_corrs,3.3242625037426117
500,all,mmd,0.0059006515107348865
500,all,enrichment-k50,0.60392
500,all,enrichment-k100,0.57882
500,all,l2-means,0.8858824968338013
500,all,l2-stds,1.1522353887557983
500,all,r2-means,0.9498999557807201
500,all,r2-stds,0.9875705862384416
500,all,r2-pairwise_feat_corrs,0.7766624718143122
500,all,l2-pairwise_feat_corrs,3.3242625037426126
500,all,mmd,0.0059006625197536135
500,all,enrichment-k50,0.60392
500,all,enrichment-k100,0.57882
500,all,l2-means,0.8858824372291565
500,all,l2-stds,1.1522353887557983
500,all,r2-means,0.9498999499606772
500,all,r2-stds,0.9875705862384416
500,all,r2-pairwise_feat_corrs,0.7766624718143124
500,all,l2-pairwise_feat_corrs,3.3242625037426126
500,all,mmd,0.005900657427129799
500,all,enrichment-k50,0.60392
500,all,enrichment-k100,0.57882
500,all,l2-means,0.8858823180198669
500,all,l2-stds,1.1522353887557983
500,all,r2-means,0.9498999270794859
500,all,r2-stds,0.9875705862384416
500,all,r2-pairwise_feat_corrs,0.776662471814312
500,all,l2-pairwise_feat_corrs,3.324262503742612
500,all,mmd,0.005900620248200484
500,all,enrichment-k50,0.60392
500,all,enrichment-k100,0.57882
500,all,l2-means,0.8858826756477356
500,all,l2-stds,1.1522353887557983
500,all,r2-means,0.9498999238745326
500,all,r2-stds,0.9875705862384416
500,all,r2-pairwise_feat_corrs,0.7766624718143125
500,all,l2-pairwise_feat_corrs,3.3242625037426117
500,all,mmd,0.005900638488459362
500,all,enrichment-k50,0.60392
500,all,enrichment-k100,0.57882
500,all,l2-means,0.8858821988105774
500,all,l2-stds,1.1522353887557983
500,all,r2-means,0.9498999229152092
500,all,r2-stds,0.9875705862384416
500,all,r2-pairwise_feat_corrs,0.7766624718143125
500,all,l2-pairwise_feat_corrs,3.324262503742612
500,all,mmd,0.005900648190530999
500,all,enrichment-k50,0.60392
500,all,enrichment-k100,0.57882
