ncells,nfeatures,metric,value
100,all,l2-means,1.100076675415039
100,all,l2-stds,1.008882761001587
100,all,r2-means,0.48533211572184204
100,all,r2-stds,0.9916950670003334
100,all,r2-pairwise_feat_corrs,0.18302221067242683
100,all,l2-pairwise_feat_corrs,5.647422233155295
100,all,mmd,0.018059665162987102
100,all,enrichment-k50,0.5248
100,all,enrichment-k100,0.5413131313131313
100,all,l2-means,1.5412354469299316
100,all,l2-stds,2.001307249069214
100,all,r2-means,0.2383919931940001
100,all,r2-stds,0.9595493687063801
100,all,r2-pairwise_feat_corrs,0.16282036401411887
100,all,l2-pairwise_feat_corrs,5.910078432154936
100,all,mmd,0.017685397060419505
100,all,enrichment-k50,0.5122
100,all,enrichment-k100,0.5225252525252525
100,all,l2-means,1.2077592611312866
100,all,l2-stds,1.2170331478118896
100,all,r2-means,0.6261983722462352
100,all,r2-stds,0.9868547154836709
100,all,r2-pairwise_feat_corrs,0.17072472215930562
100,all,l2-pairwise_feat_corrs,6.003034933334831
100,all,mmd,0.01867126085965072
100,all,enrichment-k50,0.5266
100,all,enrichment-k100,0.5595959595959596
100,all,l2-means,1.5764621496200562
100,all,l2-stds,1.502217173576355
100,all,r2-means,0.2641441196945948
100,all,r2-stds,0.9822943801173465
100,all,r2-pairwise_feat_corrs,0.16475463233921517
100,all,l2-pairwise_feat_corrs,6.000005745426007
100,all,mmd,0.0183894784907218
100,all,enrichment-k50,0.5046
100,all,enrichment-k100,0.5104040404040404
100,all,l2-means,1.601611614227295
100,all,l2-stds,1.5441410541534424
100,all,r2-means,0.3999914858011735
100,all,r2-stds,0.9753642310352457
100,all,r2-pairwise_feat_corrs,0.15876319000953482
100,all,l2-pairwise_feat_corrs,6.073712331110736
100,all,mmd,0.01859016067583676
100,all,enrichment-k50,0.5228
100,all,enrichment-k100,0.5226262626262627
100,all,l2-means,2.1897878646850586
100,all,l2-stds,3.169743061065674
100,all,r2-means,-0.07224539019680953
100,all,r2-stds,0.9008858318434455
100,all,r2-pairwise_feat_corrs,0.09390414508026466
100,all,l2-pairwise_feat_corrs,6.690881490740546
100,all,mmd,0.01994639133356537
100,all,enrichment-k50,0.5342
100,all,enrichment-k100,0.541010101010101
100,all,l2-means,1.932326078414917
100,all,l2-stds,2.7767300605773926
100,all,r2-means,0.2920662043819283
100,all,r2-stds,0.9561472573373495
100,all,r2-pairwise_feat_corrs,0.23310103131003382
100,all,l2-pairwise_feat_corrs,6.01745778931194
100,all,mmd,0.018211542407066815
100,all,enrichment-k50,0.5106
100,all,enrichment-k100,0.4985858585858586
100,all,l2-means,1.544823408126831
100,all,l2-stds,1.3622045516967773
100,all,r2-means,0.3211504360138304
100,all,r2-stds,0.9818841858888648
100,all,r2-pairwise_feat_corrs,0.15832057165785482
100,all,l2-pairwise_feat_corrs,5.877220434100921
100,all,mmd,0.018715798786387877
100,all,enrichment-k50,0.5194
100,all,enrichment-k100,0.537070707070707
100,all,l2-means,1.3883987665176392
100,all,l2-stds,1.4283417463302612
100,all,r2-means,0.12703390595131986
100,all,r2-stds,0.979181190837772
100,all,r2-pairwise_feat_corrs,0.19679738750377046
100,all,l2-pairwise_feat_corrs,5.714268728906451
100,all,mmd,0.01727322153849144
100,all,enrichment-k50,0.5132
100,all,enrichment-k100,0.5195959595959596
100,all,l2-means,1.4693578481674194
100,all,l2-stds,1.564153790473938
100,all,r2-means,0.28868131977375766
100,all,r2-stds,0.9772262708552747
100,all,r2-pairwise_feat_corrs,0.18338248257841222
100,all,l2-pairwise_feat_corrs,5.921733229990633
100,all,mmd,0.017904080551653944
100,all,enrichment-k50,0.498
100,all,enrichment-k100,0.5144444444444445
250,all,l2-means,1.0746480226516724
250,all,l2-stds,1.2692816257476807
250,all,r2-means,0.44402336938696285
250,all,r2-stds,0.9902728171977114
250,all,r2-pairwise_feat_corrs,0.28082586528727793
250,all,l2-pairwise_feat_corrs,4.165972353957507
250,all,mmd,0.009001919156910012
250,all,enrichment-k50,0.51304
250,all,enrichment-k100,0.50864
250,all,l2-means,1.3671380281448364
250,all,l2-stds,1.3971738815307617
250,all,r2-means,0.12391459217686493
250,all,r2-stds,0.9858925075010102
250,all,r2-pairwise_feat_corrs,0.27431135201163026
250,all,l2-pairwise_feat_corrs,4.412789225799053
250,all,mmd,0.008837761873579666
250,all,enrichment-k50,0.51616
250,all,enrichment-k100,0.49452
250,all,l2-means,1.2735118865966797
250,all,l2-stds,1.5442018508911133
250,all,r2-means,0.182439325908266
250,all,r2-stds,0.988245341449265
250,all,r2-pairwise_feat_corrs,0.3000710348544892
250,all,l2-pairwise_feat_corrs,4.281296628958186
250,all,mmd,0.008552946654301697
250,all,enrichment-k50,0.48752
250,all,enrichment-k100,0.482
250,all,l2-means,1.2801047563552856
250,all,l2-stds,1.4000524282455444
250,all,r2-means,0.22011552729842274
250,all,r2-stds,0.9858913048373924
250,all,r2-pairwise_feat_corrs,0.31192477623606535
250,all,l2-pairwise_feat_corrs,4.168348655025989
250,all,mmd,0.009070586493413232
250,all,enrichment-k50,0.52336
250,all,enrichment-k100,0.51112
250,all,l2-means,1.5765411853790283
250,all,l2-stds,1.5994453430175781
250,all,r2-means,-0.030153948481003997
250,all,r2-stds,0.9823122480225218
250,all,r2-pairwise_feat_corrs,0.270912088172976
250,all,l2-pairwise_feat_corrs,4.299933018409924
250,all,mmd,0.0091267209701553
250,all,enrichment-k50,0.51896
250,all,enrichment-k100,0.49388
250,all,l2-means,1.3365192413330078
250,all,l2-stds,1.4996212720870972
250,all,r2-means,0.14331992947076208
250,all,r2-stds,0.983194223546524
250,all,r2-pairwise_feat_corrs,0.2665920145754544
250,all,l2-pairwise_feat_corrs,4.354429683720045
250,all,mmd,0.008843739983905453
250,all,enrichment-k50,0.51368
250,all,enrichment-k100,0.50152
250,all,l2-means,1.2219961881637573
250,all,l2-stds,1.6422165632247925
250,all,r2-means,0.28117560285218124
250,all,r2-stds,0.9796018064019119
250,all,r2-pairwise_feat_corrs,0.29691236919149244
250,all,l2-pairwise_feat_corrs,4.204662962854297
250,all,mmd,0.008915983974727332
250,all,enrichment-k50,0.51864
250,all,enrichment-k100,0.50496
250,all,l2-means,1.1577503681182861
250,all,l2-stds,1.4825565814971924
250,all,r2-means,0.3335838971449101
250,all,r2-stds,0.9810069014995632
250,all,r2-pairwise_feat_corrs,0.29519094051910405
250,all,l2-pairwise_feat_corrs,4.151123436206508
250,all,mmd,0.009176168155006423
250,all,enrichment-k50,0.50896
250,all,enrichment-k100,0.49792
250,all,l2-means,1.5025124549865723
250,all,l2-stds,1.5562571287155151
250,all,r2-means,0.056248138619475356
250,all,r2-stds,0.9827352313807972
250,all,r2-pairwise_feat_corrs,0.3252108015781741
250,all,l2-pairwise_feat_corrs,4.153763061369602
250,all,mmd,0.009421594029982187
250,all,enrichment-k50,0.52648
250,all,enrichment-k100,0.50744
250,all,l2-means,1.106592059135437
250,all,l2-stds,1.5006167888641357
250,all,r2-means,0.38423125514178424
250,all,r2-stds,0.9805323869754466
250,all,r2-pairwise_feat_corrs,0.2761062366047719
250,all,l2-pairwise_feat_corrs,4.2658993323029355
250,all,mmd,0.008626993675857557
250,all,enrichment-k50,0.52152
250,all,enrichment-k100,0.51284
500,all,l2-means,0.9630141854286194
500,all,l2-stds,1.128747582435608
500,all,r2-means,0.43925486174531947
500,all,r2-stds,0.9912290109914712
500,all,r2-pairwise_feat_corrs,0.407700355942696
500,all,l2-pairwise_feat_corrs,3.373977050076628
500,all,mmd,0.005465613963088661
500,all,enrichment-k50,0.54104
500,all,enrichment-k100,0.51446
500,all,l2-means,0.9630141854286194
500,all,l2-stds,1.128747582435608
500,all,r2-means,0.4392549582759778
500,all,r2-stds,0.9912290109914712
